cid,brand,product,model_number,date_certified,category,frequency_band,wifi_support_list,wifi_n,wifi_ac,wifi_6,wifi_7
WFA133317,Desay SV Automotive,Domain Controller Module,CSG901G1,2025-12-29,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA138164,Mexus Incorperated,5G ROUTER,MXR-5Gai,2025-12-26,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA138872,"Grandstream Networks, Inc.",High-Performance Tri Band Wi-Fi 7 Access  Point,GWN7674,2025-12-26,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA138312,Qualcomm,Qualcomm FastConnect C7700 Wi-Fi 7 Network Adapter,NCM820A,2025-12-26,Computers & Accessories,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA138354,"Shanghai Xiangcheng Communication Technology Co., Ltd.",P8 Dual Smart Payment Terminal,K1352,2025-12-26,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA138973,"Huawei Technologies Co., Ltd.",Optical Network Terminal,OptiXstar HG8145X7-13,2025-12-26,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA137767,Neusoft Corporation,Customer Connectivity Device,PAM2409TA,2025-12-26,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA138967,"MAXMADE AUTO ELECTRONICS CO., LTD.",Head Unit,AV-151E-TW,2025-12-25,Routers,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA136355,Resideo,ElitePRO/X8/X7 smart Thermostat,ElitePRO S1200 Smart Thermostat,2025-12-24,Smart Home,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA138870,"MAXMADE AUTO ELECTRONICS CO., LTD.",Car Head Unit,AUTOHU18,2025-12-24,Routers,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA137612,Samsung Electronics,MT7903,MT7903,2025-12-24,Televisions & Set Top Boxes,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6",True,True,True,False
WFA138067,Sagemcom Broadband SAS,FAST3896 V2.2,FAST3896 V2.2,2025-12-24,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA138405,Shenzhen Tinno Mobile Technology Corp,XGSPON Gateway,B521FG,2025-12-24,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA138593,Signify,LED Squire,9290047768,2025-12-23,Other,2.4 GHz,n,True,False,False,False
WFA122260,"Harman International Industries, Inc.",NTG7Q,NTG7Q,2025-12-23,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA138591,Signify,LED Squire,929047760,2025-12-23,Other,2.4 GHz,n,True,False,False,False
WFA123624,Top Victory Investments Ltd.,Smart TV,43PUS8108,2025-12-23,Televisions & Set Top Boxes,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA138880,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SL5CESAJC,2025-12-22,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA138879,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SL5CEPAJB,2025-12-22,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA138889,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CV-RL5CM0AJA,2025-12-22,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA138340,Pioneer Corporation,Dash Camera,TMX-DM06,2025-12-22,Routers,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA138926,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-ST7DE7AJB,2025-12-22,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA138927,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-ST7DE8AJB,2025-12-22,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA138928,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-ST7DE9AJB,2025-12-22,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA138929,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-ST7DE4AJC,2025-12-22,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
