cid,brand,product,model_number,date_certified,category,frequency_band,wifi_support_list,wifi_n,wifi_ac,wifi_6,wifi_7
WFA130164,HP Inc.,HP Envy 6500e,714N5A,2025-11-28,Computers & Accessories,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA131036,HP Inc.,HP OfficeJet Pro 9730 Series,537P5C,2025-11-28,Computers & Accessories,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA131028,HP Inc.,HP OfficeJet Pro 9130b Series,4U557C,2025-11-28,Computers & Accessories,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA136702,Orange,QBox,Qbox,2025-11-28,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA131035,HP Inc.,HP OfficeJet Pro 8130 series,68K80B,2025-11-28,Computers & Accessories,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA137807,TCL Communication Ltd.,T453D,T453D,2025-11-27,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA138373,LG Electronics,HMAM5W,HMAM5W,2025-11-27,"Gaming, Media & Music",2.4 GHz,n,True,False,False,False
WFA138191,LG Electronics,LANR61,LANR61,2025-11-27,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA137607,"ECARX (Hubei) Tech Co.,Ltd.",ECU-Display Head Unit,EEBBCDE1,2025-11-27,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA138374,LG Electronics,HMAM6W,HMAM6W,2025-11-27,"Gaming, Media & Music",2.4 GHz,n,True,False,False,False
WFA138192,LG Electronics,LANR62,LANR62,2025-11-27,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA138345,Sercomm Corporation,WIFI7 Router,OWR7,2025-11-26,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA138309,Dexatek Technology Ltd.,Key Light Air,20LAM9901,2025-11-26,Other,2.4 GHz; 5 GHz,n,True,False,False,False
WFA138353,Renesas Electronics,RRQ61051-208,RRQ61051-208,2025-11-26,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA138358,Robert Bosch Car Multimedia Suzhou,infortainment cockpit,VCUCP2,2025-11-26,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA137502,"Nubia Technology Co., Ltd.",5G Digital Mobile Phone,NX741J,2025-11-26,Phones,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA137764,ZTE Corporation,Router,MC8532B,2025-11-25,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA138337,Renesas Electronics,RRQ61051-408,RRQ61051-408,2025-11-24,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA138310,Renesas Electronics,RRQ61051-008,RRQ61051-008,2025-11-24,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA138336,Renesas Electronics,RRQ61001-010,RRQ61001-010,2025-11-24,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA136345,Sercomm Corporation,Spectrum,SBE1V1R,2025-11-24,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA138311,Renesas Electronics,RRQ61051-009,RRQ61051-009,2025-11-24,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA138339,Renesas Electronics,RRQ61051-010,RRQ61051-010,2025-11-24,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA137796,"Nextivity, Inc.",Nextivity SHIELD MegaFi 2,M4D-VC,2025-11-24,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA136891,Mercury Corporation,GW-ME721D,GW-ME721D,2025-11-24,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA136044,"TCL Yuxin Zhixing Technology (Hui zhou) Co., Ltd.",RAP4E,RAP4E,2025-11-21,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA134126,Sagemcom Broadband SAS,DIW252 Generic,DIW252,2025-11-20,Televisions & Set Top Boxes,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA138305,Zebra Technologies,WS301,WS301,2025-11-20,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA135669,Sagemcom Broadband SAS,DxIW253 VF Gen4,DxIW253,2025-11-20,Televisions & Set Top Boxes,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA134913,Zebra Technologies,WS501,WS501,2025-11-20,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA78448,"Konica Minolta, Inc.",Wireless LAN Kit,UK-221,2025-11-20,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA137523,OPPO,Tablet (Wi-Fi and other),OPD2503,2025-11-19,"Tablets, Ereaders & Cameras",2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA137069,ZTE Corporation,Home Gateway,ZXHN F6201D,2025-11-19,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
