cid,brand,product,model_number,date_certified,category,frequency_band,wifi_support_list,wifi_n,wifi_ac,wifi_6,wifi_7
WFA120715,Sharp Electronics (Malaysia) Sdn. Bhd.,AQUOS LCD TV,2T-C32EG1X,2026-01-26,Televisions & Set Top Boxes,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139399,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-ST2EE7AEA,2026-01-23,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139400,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-ST2EEAAEA,2026-01-23,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139401,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-ST2EEBAEA,2026-01-23,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139402,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SLGEF0AJA,2026-01-23,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139397,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-ST2EE5AEA,2026-01-23,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139398,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-ST2EE6AEA,2026-01-23,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139395,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-ST2EE3AEA,2026-01-23,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA138402,LG Electronics,ConnectWide,ConnectWide,2026-01-23,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA139390,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SL3EE2AJA,2026-01-23,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139391,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SL3EE7AJA,2026-01-23,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139392,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SL3EE9AJA,2026-01-23,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139393,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SL3ER4AJA,2026-01-23,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139394,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-ST2EE2AEA,2026-01-23,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139396,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-ST2EE4AEA,2026-01-23,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA137938,Orange,WE82242-H2-LT,WE82242-H2-LT,2026-01-22,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA139362,B&W Group Ltd.,AIOS 9.0 Platform Module - MT7921,FIBWB9722004J,2026-01-21,Other,2.4 GHz; 6 GHz,"n, 6",True,False,True,False
WFA139359,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CV-RS8EM1AJA,2026-01-21,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139358,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CV-RS8EM0AJB,2026-01-21,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139357,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS8EM4AJB,2026-01-21,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139356,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS8EM3AJA,2026-01-21,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139360,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS8EA2AJA,2026-01-21,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA131860,NXP Semiconductors,IW610,IW610,2026-01-21,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA122279,MediaTek Inc.,MediaTek Filogic-880-AP - MT7990,MediaTek Filogic-880-AP - MT7990,2026-01-21,Other,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA139351,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS8EE9AJA,2026-01-21,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139349,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS8EE8AJA,2026-01-21,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139348,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS8EEFAJB,2026-01-21,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139347,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS8EEEAJB,2026-01-21,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139346,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS8EE5AJA,2026-01-21,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139345,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS8EE4AJA,2026-01-21,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139344,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS8EE2AJB,2026-01-21,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139343,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS8EE1AJB,2026-01-21,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA111568,HP Inc.,HP Smart Tank 7000 series,28B49A- 6UU46A,2026-01-21,Computers & Accessories,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133650,Broadcom Corporation,BCM94390,BCM94390,2026-01-21,Other,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA127411,Intel,Intel® Wi-Fi 7 BE200,BE200,2026-01-21,Other,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA127693,Qualcomm,Qualcomm FastConnect 7800 Mobile Connectivity system,WCN7850,2026-01-21,Computers & Accessories,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA139353,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS8EM0AJA,2026-01-21,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139352,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS8EA1AJA,2026-01-21,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139355,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS8EM2AJB,2026-01-21,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139354,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS8EM1AJA,2026-01-21,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139361,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS8EA5AJA,2026-01-21,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA130473,Hewlett Packard Enterprise,AP-755,755,2026-01-20,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA139329,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS4EF2AJA,2026-01-20,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139327,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS4EF0AJA,2026-01-20,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139326,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS4ER0AJA,2026-01-20,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139330,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS4EM0AJA,2026-01-20,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA138503,TCL Communication Ltd.,9445X,9445X,2026-01-20,"Tablets, Ereaders & Cameras",2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA138105,"Zhuhai Pantum Electronics Co., Ltd.",MT300 Series Ink Tank Printer,PT05C2A-Q1A-01,2026-01-20,Computers & Accessories,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA139323,Calix Inc.,GigaSpire 7u6m,GM2038,2026-01-20,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA139328,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS4EF1AJA,2026-01-20,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139332,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS4ES0AJA,2026-01-20,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139331,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS4EM1AJA,2026-01-20,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139333,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS4ES1AJB,2026-01-20,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139334,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS4ES2AJA,2026-01-20,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139335,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS4ES4AJA,2026-01-20,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139310,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS1DE2AJB,2026-01-19,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139309,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS1DE3AJB,2026-01-19,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139306,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS1DE0AJB,2026-01-19,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139304,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SL5EEPAJB,2026-01-19,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139302,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SL5EENAJB,2026-01-19,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139301,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SL5EEMAJC,2026-01-19,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139300,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SL5EELAJB,2026-01-19,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139299,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SL5EEKAJB,2026-01-19,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139305,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SL5EEQAJB,2026-01-19,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139297,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SL5EEHAJB,2026-01-19,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139298,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SL5EEJAJC,2026-01-19,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
