cid,brand,product,model_number,date_certified,category,frequency_band,wifi_support_list,wifi_n,wifi_ac,wifi_6,wifi_7
WFA133729,Shenzhen Tinno Mobile Technology Corp,tablet,T715DS,2026-04-27,"Tablets, Ereaders & Cameras",2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139544,JVCKENWOOD Corporation,PTToC TRANSCEIVER,KBX-P51,2026-04-27,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139449,Dongfeng Motor Group Company Limited,P20N-8675,Frontier pro,2026-04-27,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139364,Visteon Corporation,FAW-VW J01 8155,VPTVAF-10D746-AA,2026-04-27,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA125658,Nordic Semiconductor ASA,nRF7002 DK,nRF7002-DK,2026-04-24,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140391,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BT2EE0AJA,2026-04-23,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA138807,HP Inc.,HP ScanJet Enterprise Flow N6600 fnw1,HP ScanJet Enterprise Flow N6600 fnw1,2026-04-23,Computers & Accessories,2.4 GHz,n,True,False,False,False
WFA140383,"TSC Auto ID Technology Co., Ltd.",Barcode Printer,DTP258DWS001,2026-04-23,Computers & Accessories,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA140396,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-CT2FF0AJA,2026-04-23,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139118,"Shanghai Shenqijiyuan Intelligent Terminal Co., Ltd.",Wireless Router,MC8500,2026-04-23,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140395,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BT2EF1AJA,2026-04-23,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140394,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BT2EEAAJA,2026-04-23,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140393,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BT2EE7AJA,2026-04-23,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140392,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BT2EE1AJA,2026-04-23,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140373,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGEAAJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140366,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGA1AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140361,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGS5AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140362,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGS6AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140363,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGA2AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140364,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGA0AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140365,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGA3AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140371,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGF1AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140367,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGM0AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140368,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGF0AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140369,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGF3AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140370,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGF2AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140353,Beken Corporation,BEKEN Wi-Fi & BLE Combo Module,BK7236N,2026-04-22,Other,2.4 GHz,"n, 6",True,False,True,False
WFA140374,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGEEAJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140229,Desay SV Automotive,Domain Controller Module,IC01015/018,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA140378,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGAAAJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140377,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGEFAJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140376,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGEBAJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140360,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGS0AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140372,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGEDAJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA139549,"Shanghai SeekWave Technology Co., Ltd.",SWT6621,SWT6621,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140230,Desay SV Automotive,Domain Controller Module,IPU99016/018,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140346,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGE5AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140347,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGE0AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140348,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGE6AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140349,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGE1AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140350,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGE7AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140352,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGE3AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140355,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGS3AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140356,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGS1AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140358,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGS2AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140351,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGE2AJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140379,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CK-BTAGABAJ,2026-04-22,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
