cid,brand,product,model_number,date_certified,category,frequency_band,wifi_support_list,wifi_n,wifi_ac,wifi_6,wifi_7
WFA138156,Shenzhen Tinno Mobile Technology Corp,Smart Phone,U205AA,2026-03-27,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA138936,Allied Telesis Holdings K.K.,AT-TQ7413-R,AT-TQ7413-R,2026-03-27,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA124406,Aptiv Technologies Limited,Service and Entertainment Module 2.5,Service and Entertainment Module 2.5,2026-03-27,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA136478,Texas Instruments,CC355xE,CC355xE,2026-03-26,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA138093,Texas Instruments,CC350xE,CC350xE,2026-03-26,Other,2.4 GHz,"n, 6",True,False,True,False
WFA115172,"Honda Motor Co., Ltd.",Car Navigation System-HM ICB,AH00ICB,2026-03-26,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139465,"Vivo Mobile Communication Co., Ltd.",Mobile Phone,V2562,2026-03-25,Phones,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA129233,Texas Instruments,MPU RTOS,CC335X,2026-03-25,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139316,WNC Corporation,CGW453-400,CGW453-400,2026-03-25,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6",True,True,True,False
WFA138566,Zyxel Communications Corporation,AX3000 WiFi 6 GPON VoIP Gateway ONT with 1-port USB 2.0,PX3321-T3,2026-03-24,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA138317,Landis + Gyr,Revelo,E370,2026-03-24,Other,2.4 GHz,n,True,False,False,False
WFA97102,HP Inc.,HP LaserJet MFP M234dw,HP LaserJet MFP M234dw,2026-03-24,Computers & Accessories,2.4 GHz; 5 GHz,n,True,False,False,False
WFA138268,"Beijing Roborock Technology Co., Ltd.",Robotic Vacuum Cleaner,RRE0CPS,2026-03-24,Smart Home,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA135154,"ALPS ALPINE CO., LTD",UXC 1.0,UXC 1.0,2026-03-23,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA139377,"Espressif Systems (Shanghai) Co., Ltd.",2.4G&5G Wi-Fi 6 module,ESP32-C5-MINI-1,2026-03-23,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140036,"Shanghai Shenqijiyuan Intelligent Terminal Co., Ltd.",LTE/WCDMA/GSM(GPRS) Multi-Mode Digital Mobile Phone,Z2582,2026-03-23,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139987,"Huawei Technologies Co., Ltd.",Wireless LAN Access Point,eKitEngine AP361H,2026-03-20,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA139616,Ingenico Terminals,Smart POS Terminal,AXIUM DX8,2026-03-20,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA140035,TCL Communication Ltd.,T624H,T624H,2026-03-20,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139988,"Huawei Technologies Co., Ltd.",Wireless LAN Access Point,eKitEngine AP362H,2026-03-20,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140014,"Home Depot Product Authority, LLC",4ft SMART Grand Duchess Twinkling Balsam Fir Potted LED Pre-Lit Tree,26LE31029,2026-03-18,Smart Home,2.4 GHz,n,True,False,False,False
WFA140016,"Home Depot Product Authority, LLC",12 ft SMART Grand Duchess Twinkling Balsam Fir LED Pre-Lit Tree,26LE31016,2026-03-18,Smart Home,2.4 GHz,n,True,False,False,False
WFA140012,"Home Depot Product Authority, LLC",Wi-Fi Smart Lock,9GED94900-002,2026-03-18,Smart Home,2.4 GHz,n,True,False,False,False
WFA140011,"Home Depot Product Authority, LLC",Wi-Fi Smart Lock,9GED94900-001,2026-03-18,Smart Home,2.4 GHz,n,True,False,False,False
WFA140010,"Home Depot Product Authority, LLC",Wi-Fi Smart Lock,994900-002,2026-03-18,Smart Home,2.4 GHz,n,True,False,False,False
WFA140009,"Home Depot Product Authority, LLC",Wi-Fi Smart Lock,994900-001,2026-03-18,Smart Home,2.4 GHz,n,True,False,False,False
WFA140013,"Home Depot Product Authority, LLC",Penrose LÁMPARA EN BARRA PARA BAÑO (Penrose 24 IN MATTE BLACK VANITY HUBSPACE WITH NIGHT LIGHT),C06021202A,2026-03-18,Smart Home,2.4 GHz,n,True,False,False,False
WFA111853,Honeywell Safety and Productivity Solutions,Mobile Computer,CT45-L1N-A​,2026-03-18,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA123986,Vantiva,DGA4135,DGA4135,2026-03-18,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA140028,TCL Communication Ltd.,T624Z,T624Z,2026-03-18,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA140026,"FulScience Automotive Electronics Co., Ltd",Cockpit domain controller,7901011-QF41,2026-03-18,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA139781,Desay SV Automotive,Carmax TW LCR2 7inch DA,SDSV-2300,2026-03-18,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA140018,"Kaonbroadband CO., LTD.",GPON Gateway,PG1893G,2026-03-18,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA123077,Honeywell Safety and Productivity Solutions,Mobile Computer,CT47X0N,2026-03-18,Phones,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6",True,True,True,False
WFA126676,MaxLinear Inc.,Maxlinear Wi-Fi 7 Triband Access Point,ZURX851-HDK-2,2026-03-18,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA140015,"Home Depot Product Authority, LLC",7.5 ft SMART Grand Duchess Twinkling Balsam Fir Slim Flocked LED Pre-Lit Tree,26LE31019,2026-03-18,Smart Home,2.4 GHz,n,True,False,False,False
WFA139598,Seiko Solutions Inc.,LTE Router,MB-A130-00,2026-03-17,Routers,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA139152,"BICV Technology Co., Ltd.",AV MASTER ASSY,T08,2026-03-17,Other,5 GHz,"n, ac",True,True,False,False
WFA139999,"Home Depot Product Authority, LLC",9 ft SMART Grand Duchess Twinkling Balsam Fir Slim LED Pre-Lit Tree,26LE31017,2026-03-16,Smart Home,2.4 GHz,n,True,False,False,False
WFA139991,"Home Depot Product Authority, LLC",12ft SMART Grand Duchess Twinkling Balsam Fir LED Pre-Lit Garland,26LE31028,2026-03-16,Smart Home,2.4 GHz,n,True,False,False,False
WFA139998,"Home Depot Product Authority, LLC",7.5 ft Grand Duchess Twinkling Balsam Fir Flocked LED Pre-Lit Tree,26LE31020,2026-03-16,Smart Home,2.4 GHz,n,True,False,False,False
WFA139997,"Home Depot Product Authority, LLC",9 ft Grand Duchess Twinkling Balsam Fir Flocked LED Pre-Lit Tree,26LE31021,2026-03-16,Smart Home,2.4 GHz,n,True,False,False,False
WFA139996,"Home Depot Product Authority, LLC",15 ft Grand Duchess Twinkling Balsam Fir LED Pre-Lit Tree,26LE31018,2026-03-16,Smart Home,2.4 GHz,n,True,False,False,False
WFA139995,"Home Depot Product Authority, LLC",400 SMART Grand Duchess Twinkling Lights,26LE21011,2026-03-16,Smart Home,2.4 GHz,n,True,False,False,False
WFA139994,"Home Depot Product Authority, LLC",3FT SMART GRAND DUCHESS TWINKLING BALSAM FIR LED PRE-LIT TREES - SET OF 2,26LE31001,2026-03-16,Smart Home,2.4 GHz,n,True,False,False,False
